sentiment,review_body,product_category
1,I ordered this top in white and i was really excited for it to come in! once it once delivered and i tried it on it took me a second to decide if i liked it or not. i think i ordered it a size too big (i ordered a large  i'm usually a medium). it was somewhat boxy  but i think paired with the right pants and shoes it would be just what i wanted!,Blouses
1,"I tried the 4 and felt it ran a bit big  i'm 34a-28-26  5'6"" about 130lbs and expected to take a 6. the 4 was ideal.  love the concept but thought the material was too stiff to be a 'swing' tank. the pleats in the back poke up when you move or bend as if you've got little horns coming out of your back. i think a chambray  like cloth and stone produces might have rendered this super cute design better (imo).  it has a trapeze shape  i wouldn't plan on tucking it in.  finally  you mightn't want to",Blouses
1,I loved this shirt from the moment i saw it on the table. i am always too tall for a peplum blouse because they hit my rib cage instead of my waist  but this shirt doesn't have that problem! i have the white one  the polka dots are a really pretty corn flower blue color. i usually wear an 8 in maeve blouses  but this one i took a 6. there is definately no give though. i have a very flat chest and only wear a lacy bralette under this shirt because there is no room for anything else. i am sad thou,Blouses
1,I bought this in the store and love it. seeing it online - i would never think to buy it. much more flattering in person!,Blouses
1,I love this tank! its something you can dress up with a skirt  or wear over jeans. i like loose fitting tops  although i have a slender frame. this is also so comfortable. i went with a size medium  and it fits perfect.,Blouses
1,"I bought one of each color. love them all! they fit well and are very soft. washing and drying them are not a big issue either. i didn't notice any shrinking. i wear xs and s depending on the fabric and cut. for this  i bought a small. (i'm 34a  ~125 lbs  5'8"".) it's loose and flowy without being overly baggy. the tail of the shirt reaches just below my butt. if you're going to wear this with a pencil skirt or low rise jeans  the buttons on the side might get in the way a little. but that doesn'",Blouses
1,I tried this on a whim last week even though it was a bit above my budget  and i couldn't resist taking it home. the photo doesn't do the textured sheen of the silk justice--the metallic tones of the flowers are really vibrant  but still subtle. my husband (who usually hates anything with a bow) loves this  though i have been tying the bow a bit lower than shown on the model. go one size down--i usually wear a 14 in blouses but took a 12 in this.,Blouses
-1,I'm not really sure what the designer was trying to accomplish with this dress. the fabrics and details are pretty but the shape is really strange. for one thing  the dress has a very straight cut so there is not a lot of room for movement and the thin belt makes the shape even worse. i felt like i was wearing a really fancy garbage bag. also  the way the bottom flares out is just strange considering the cut and length. i really wanted to like this dress but unfortunately it was a complete miss,Dresses
-1,I love maeve dresses and have always gotten a lot of wear out of them while still looking great. this dress does not meet those standards. on the 2nd wear of this dress the zipper completely broke. i had to take it to a dry cleaner to get replaced at a pricey cost for a pricey dress  i'm dissapointed.,Dresses
-1,This dress was a disappointment. not black  but brown. and it was very oddly made  with a weird  seam right across the belly. on its way back...,Dresses
-1,I should have heeded the previous reviewer's advice. but i'm really short so i thought i'd give it a try. there is something really wrong with the bust. first  it's about 3-4 inches higher than it should be. the bottom trim cut across the middle of my bust. even if i hoisted everthing up in there to fit the cups  they are really only designed to fit cones  not curves. from the side it looked hideous. too bad  because the fabric and fit everywhere else is gorgeous.,Dresses
-1,I have to agree that the fit is unfortunate. i am using a size 2 in retailer and most dresses. i knew to size up based on reviews here. i tried the size 4 and i could barely button the top. the waist fit fine and the underarms was fitted nicely to the body. i sized up to a size 6 and the dress was oversized in the top  with gaping armholes. too bad because the color is beautiful and the style is adorable.,Dresses
-1,I'm 5 feet 120 and hourglass figure. i literally burst out laughing when i opened the package. i ordered my usual small petite. the dress is so short and small you would have to be 4 feet 90 pounds. returning.,Dresses
-1,The style was really cute but the fit was huge. i ordered an xs. i don't think going to the xxs would have helped. i ended up returning it.,Dresses
-1,I absolutely fell in love with this dress in the store and immediately scooped it up in black. wore it 3-4 times on hot summer days and it was perfect! very comfortable  easy to throw on and dress up or down. i decided to hand wash instead of dry cleaning (as i usually do) and after hanging dry  it became significantly more translucent than it had been before! i can no longer wear this dress because you can see everything through it. it's as though the fabric completely changed after being wet.,Dresses
-1,Too tight in strange ways. beautiful dress i was so excited to receive it  however it just did not fit.,Dresses
0,I wanted to love this dress because the color is so amazing  but the arm holes are huge! i am petite and tried this on and it just sadly didn't work.,Dresses
0,The dress arrived with two large buttons missing from the front complete with unraveling threads. the rest of the buttons are sewn on loosely  and in general  it's poor quality. ridiculous considering the price  very disappointed.,Dresses
0,I had high hopes after reading all of the reviews  but as you can see  the dress didn't live up to them. i ordered a size 8  and maybe a 6 would've fit better  but i'm not going to find out. the sheer area on the model really stands out; it does not in real life. there were loose threads throughout  and there really shouldn't be at this price point. i was going to wear this to a wedding  but as a member of the wedding party  i don't think it would picture well at all. i'm sorry that it's headed,Dresses
0,"I love sweater dresses and was excited to find a dress that would be long enough for me to feel comfortable in. i am petite  but at my age i am not comfortable in things that fall more than an inch or two above my knee. this dress is much shorter than stated  and much shorter than it looks on the model. i measured the petite xxs (my normal size) and it is 31"" from the shoulder seam to the hem  not 36"" as stated. five inches is a big discrepancy. the color and style were lovely  but i just can't",Dresses
0,I wanted to love this dress!! i eyed it for months before deciding to purchase  and when i hit submit  i purchased a size down  given the prior reviews. excitedly  i whiled away the moments until it appeared in my mailbox. as soon as this dress was delivered  i ripped it out of its packaging and ooohed and aaahed over the beautiful lace overlay and the halter cut. hurriedly  i pulled the dress over my head  allowing it to drape over my body. and drape it did  but not in a good way; rather  the d,Dresses
0,I loved the colors on this dress  but i don't like the way it fits. it is tight around the shoulders  but the rest of the dress is really big and has no shape,Dresses
0,So much odd stuff going on here with the cut/fit. the top is sort of tight in the bust  even with a small chest. the sleeves are dolman-style and are billowy at the top  but then tight on even my skinny arms. the slip plus the dress itself took me a good 5 minutes to figure out how to put on...just too much effort. it is otherwise a beautiful pattern  color  and length. just a miss for me personally in the fit department. bummer!,Dresses
0,The xxs petite fit great except in bust and shoulder area. i'm a 32a and it was really tight.,Dresses
0,I  absolutely fell in love with the stress when i sought in the store. the fabric and drape of the fabric is amazing! however  it runs extremely small. i normally wear a medium and can sometimes even wear a small and dresses. i tried on the medium and the large and i could not even get them zipped all the way.  i'm so disappointed  as this is a gorgeous dress.  definitely size up at least one  maybe two sizes.,Dresses
1,The dress is  very feminine and very flirty. i love orange/melon-colored dresses. this one does not disappoint. it does run extremely small around the rib cage. i had to size up to a 6 when i typically wear a 2 or 4. my bra size is 32 b. nice quality fabric  lined  with built-in bustier.,Dresses
1,This dress is very flattering and has wonderful movement  i'm so happy that it went on sale! definitely worth it!,Dresses
1,"I love this dress. the pattern is fun  the style is relaxed and breezy for spring/summer  and it is well-made. a steal at the sale price! also  it has pockets :) a huge plus for me. since it is a loose-fitting style  i would say it run just a tad big. i bought the s petite and i am 5'4"" 115lbs. i could've gone xs petite ...but the s fits well and looks great. the pattern is stunning. a great addition to my summer wardrobe. i thought about pairing it with a fitted white pant  but it hits me right",Dresses
1,"Wow  i didn't think this dress would work on my curvy frame. i still have a baby belly and some dresses look like mumu's on me. this was so flattering  the waist cinches nicely and the length is just above the knee. i am 5.6"" and 145lbs for reference. the weight its light/cottony and it looks great with flats and wedges.   love it!",Dresses
1,I was so excited to receive this dress! it even has embroidered loops on the hem of the slip underneath which was such a cute detail. it's very pretty on. that being said  i ordered a size 4 which fit me perfectly (150 lbs) but ladies  i do not mean this in any way but in my personal opinion  my arms are out of shape. not toned and flabby. the sleeves on this dress will not do you any justice. it will make your arms look worse because of the shape of the sleeve. so keep that in consideration if,Dresses
1,Bought this for a summer wedding  it fit great and i got a lot of compliments!,Dresses
1,The fabric feels and hangs nicely. it's very versatile  you can dress up or down. i purchased the navy stripe one and wear with brown boots. thinking i might need one of the other two as well  perfect for texas winters!!,Dresses
1,Love everything about this dress...cut  color  material and price!,Dresses
1,"I debated n that as i think it looks loose on the model  but if i was to tighten it  it looks a lot more flattering... i tried on the xs in the store (i usually do that to decide if i need petite)  and it looked huge  when we pinched the back to see if xxs would work  it was a lot of fabric  and looser didn't look as good on me... but i like the dress overall  so still recommend. and for those who like the looser look  this is great. i would  however  order eptite for 5'1.5"". (115 lbs  03 dd che",Dresses
-1,I know this is supposed to look oversized  and i own a few oversized ponchos  but this takes oversized to a whole new level.  i ordered it in my usual size and it was just waaaaay too much fabric - i do not think sizing down would have made a difference.  if you are looking for that  it seemed like good qualify.,Fine gauge
-1,"I didn't mind the ""scratchiness"" others proclaimed this garment had  but it is made very tight in the arms and across the back. looks great from the front  but uncomfortable.",Fine gauge
-1,Did not work for me. material was a bit thin  poor quality  the tie doesn't quite work correctly. had a cheaper look to it. not the quality i'd normally expect. this is going back.,Fine gauge
-1,Retailer consistently provides unique  sophisticated and quality made clothing. with the exception of an occasional purchase at their sister companies  i shop with them exclusively. i suppose that i can't expect 100% perfection from retailer-but 99% of the time-that's what i get. this is that 1%...this sweater is truly awful! i cannot (or find it very difficult at least) begin to describe what this sweater is like but it is so unlike retailer that  had it not been for the distinct pattern on the front,Fine gauge
-1,I'm returning this cardigan. it doesn't fit me at all. it's shapeless and loose.,Fine gauge
-1,"I had this in my cart for a week before i took the plunge  because i thought it would make the cutest boho statement piece that could go from beach to casual evening outings. i'm 5'9""  so i got the m/l to ensure length. maybe that was wrong? if the ""laid flat width"" was included maybe that would have been more helpful  but this thing was massive and looked like a potato sack. the side slits (of course hidden in the photos) came up to just over my natural waist  enhancing that effect. i loved the",Fine gauge
-1,I got this top to wear with shorts as the color goes with a lot of different prints. the quality is excellent. this top runs very large  as in three (3) sizes too large. for the record i am a 34.25.35 and ordered my regular size the xs and this top makes me like i'm pregnant with twins. also  the layering looks nothing like it does on the model  it looks sloppy  unkept and a general. i think this would still be great for ladies who are bigger in the chest and waist  otherwise it just doesn't wor,Fine gauge
-1,I wanted to love this. however  the fit was funky and the colors were muted. this is definitely something you must try on in the store. too risky to buy online due to weird fit.,Fine gauge
-1,It's beautiful  lovely quality  gorgeous bird. but the fit just doesn't work for me. i'm usually a medium  which is what i got  it's just too tight in the chest. for ref 36d. as is it already flares out some in the bottom so i'm not gonna bother w a larger size unfortunately,Fine gauge
0,"I am about 5'6""  135 lbs and usually wear between a small or a medium. i ordered a small  as another reviewer did. right when i took it out of the packaging  i could see that it was going to be much shorter than you can tell from the online photo. i knew the sweater was going to be cropped  but it falls right at the top of my hip bones. when i raise my arms up  my whole midriff shows. did not flatter my athletic build at all. the fit around the shoulders and chest is fine  skimming but not tight",Fine gauge
0,"The high neck and ""square-ness"" did not work for me .. but might for someone else.",Fine gauge
0,I have a collection of this artist's paintings throughout my home. she is a favorite. i was so excited to see the first clothing item offered at retailer. i ordered it at full-price. it looks the same in person as in the photos. the fit was true to size--it fits me as shown on the models. the knit was comfortable. the problem was the printed fabric. it was so flimsy and kept attracting static. no matter what i tried  i couldn't get the static problem solved. it was unwearable because of how messy,Fine gauge
0,I want to like this sweater. the color is lovely  more of a grayish blue  and the design is nice. the quality is amazingly good  as it's thick without being too thick and very soft. but the design is odd and quite unflattering! i got the xsmall but it's two big. the sleeves have a very low shoulder so they almost have a wing like look. it doesn't look like it does on this model. the waist area is a lot bigger  so it does sit on your hips  however the sweater isn't slimming cause of the odd shape,Fine gauge
0,This very lightweight cardigan looked like an eggplant color online. it's brown with a hint of burgandy. not bad  but unexpected. i am very short -waisted  and this lies very high on my torso. the seams are unfinished  and it looks cheaply made. glad i got this on sale.,Fine gauge
0,It's just ok. very thin and feel like it might say and stretch. color is very nice but much thinner and sheer we than what i wanted.,Fine gauge
0,I believe that this sweater is by moth and not knitted and knotted as noted in the description. for me  this tunic was just ok. i didn't think that the quality was great and it just didn't wow me  especially at this price point.,Fine gauge
0,I usually wear petite which this was not so a little big for me. but nice color and good quality  but pricey for what it is. it's more like a $45 sweater not $100+,Fine gauge
0,"I bought this sweater online as soon as i saw it. but like the other reviewers i agree it is shapeless and sticks out too much at and below the waist. if it were a softer fabric maybe the flair would work but not for this one. i am 5' 2""  115lbs  32d and got the xs. maybe if you aren't chesty it won't flare out as much. sadly i had to return it. i was so excited for it  o well.",Fine gauge
1,"I bought this duster in the blue color and really like it. i am 5'11"" so love the longer length. the large was too wide so got the medium. the sleeves were a little snug on my upper arms but after wearing it for awhile they loosened up. i think i will get the white too!",Fine gauge
1,Beautiful sweater. i first bought it in black and loved it so much i bought it in burgundy. the burgundy one is longer and slightly bigger than the black one and they are both smalls. nice thing is i can wear the burgundy one with leggings. love the lace on the sleeves and the sweater is a nice weight.,Fine gauge
1,This is the ideal easy-breezy sweater to throw over leggings when you just feel like being comfy  cozy  but still stylish. i love it.,Fine gauge
1,Super soft  cozy cardigan! i have a long torso and this is just the right length to cover my behind! i wish retailer would carry more sweaters with this shape. the sweater is soft and light - perfect for every day and you could wear it year round  although with its lighter weight  it might not be as perfect for winter. i purchased this in the kelly green color and it's gorgeous. i have it on right now!,Fine gauge
1,In the quest to find comfy  cute  casual tops i took a change on this one. it's cute but quite oversized. it just overwhelmed me. i ordered the large and generally wear medium or large so you can safely size down at least a size or two and still get the fit shown on the model. the style and color just didn't suit my coloring or body type   but i still recommend because it's comfortable and different enough to be a nice addition to someone else's closet.,Fine gauge
1,This top looks just like you see it on the website - design is super cool and color is awesome  almost acid washed in areas. but know that this top is super  super thin and will not provide any warmth. i wish it were a bit thicker in fabric  it would have been perfect for the cool fall and going into winter especially for the price. the medium in this one fit me better than the small. i am 5'9 and 140 lbs.,Fine gauge
1,Beautifully designed to flatter a women's figure. i love the fit and feel of this classic  but modern cardigan.,Fine gauge
1,This is a beautiful and super soft cashmere sweater. i found it to run large  so thankfully i ordered one size down  which was perfect. i'm normally xs  but the xxs was very flattering  still loose and casual  but fitted in the waist and arms. it is longer in length and hit mid to lower hip on my petite frame. the regular was fine  but a petite would probably be great. the sleeves are nice and long and have a pretty lace stitch detail. the cowl is nice  not too overwhelming. this is so soft and,Fine gauge
1,"Super soft and cute. the buttons add a nice touch. the color depicted online gave me pause  but when i saw it in the store it was more of a blue than that what you see in pic. great investment. beautiful sweater. 34c  65""  135 and the small is perfect.",Fine gauge
-1,"Got this in the sky color. returned it because the top is way too sheer for me  if you know what i mean. i wanted a pretty gown i can wear without a robe in front of my kids. no can do. also  for the price  material just felt flimsy & cheap. it does run small ~ the medium was good on me and i'm 5'2""  114#  34b",Intimates
-1,3 tags - one quite huge (about 2'' by 3'') - very itchy. so i cut out the tags and they are sewn with some kind of hard poky plasticy thread - now even more itchy! i will have to wear these inside out.,Intimates
-1,Fun  sexy underwear but rides up in the front. will return,Intimates
-1,3 tags sewn in  2 small (about 1'' long) and 1 huge (about 2'' x 3''). very itchy so i cut them out. then the thread left behind was plasticy and even more itchy! how can you make an intimates item with such itchy tags? not comfortable at all! also - i love bralettes and wear them all the time including to work. i am a b cup. however  this one is so thin and flimsy that it gives no support even to a b cup - so for me this would only be a lounging bralette - if it wasn't so itchy!,Intimates
-1,This could have been an amazing chemise but it is too short even for bed- perhaps it could be used for a tank. i am 5'3 but do have a long torso. it did not fully cover my booty.,Intimates
-1,Material is strange. triangle top is funky. this is just not awesome in any way.,Intimates
-1,You have to be a contortionist to get this bra on. it slips over your head and i needed my 8yo daughter to help me pull it down past my elbows. ridiculously impractical. why oh why didn't heather give it a hook and loop closure instead?,Intimates
-1,"Loved how this draped and im super petite 5'1""(32b bust) and this was seriously one of the most ill fitting items i have every owned. i purchased the pxs and it was huge. i hope this has a better fit as the other reviewers seem to have a more positive review. i was just appalled as to how bad the measurements were off. unfortunately the straps are not adjustable so this went below my chest. too sad retailer  please get the fit right!!",Intimates
-1,This bra runs very small  and is hard to get on and off. i think if i went a size up i would be happier.,Intimates
0,I love and live in these but the recent scoop tanks i purchased were thin  not as great. so i want to recommend them because they are really versatile but the quality has deminished.,Intimates
0,I ordered this in black and white  thinking you can never have enough silk camisoles.     i returned the black because it looked like polyester. the white is actually a cream/ivory  not bright white as pictured. it is also not the best feeling quality  however the fit is good  and true to size.,Intimates
0,I wanted to love this set  but sadly it just didn't fit as i had hoped. the small was bigger than expected and looked frumpy and not sexy. returned.,Intimates
0,I'm a b-cup who hates traditional underwire bras  so i was excited to try this one out. while i appreciate that this bra has more structure and support than other wireless comfy bras  the cups provided too much coverage for my style. if you want to wear a shirt with a wide neck  or do a cute off-the-shoulder thing with your shirt  the top of the cup shows. bummer!,Intimates
0,I'm a 32-a  and i bought a small. i found that the tube portion is pretty tight  but probably needed to keep things up. because there is not a clasp in the front or back  it is really hard to get in and out of. i'd probably be ok with it  but the cups were too big for me. i think i would need to be a c to fill it.  the quality is really nice and the molded cups are a good shape. i wish i could have made it work  because it was really comfortable. i returned it in the end.,Intimates
0,If your hips are bigger than a size 6 us you can't fully close this robe. the model must be wearing the larger of the two sizes to have such a nice oversized fit. the fabric is soft and lux and amazing  but the weird dart in the back and the closure is right over my sadly size 8 hips and butt. if i was taller and thinner i would have kept this and worn it every day.,Intimates
0,When ordering this product  i thought it was strange that the mediums were sold out. i went with the small which is generally what i wear. however  these run small and i see why the medium ran out. they are pretty  however  i wish they made them more true to size.,Intimates
0,I have been eyeing this piece for months now! i broke down and bought it when they finally had my size in stock. i am 5 '4 and 110 lbs and have a very small chest so i ordered an xs. i think the top is too baggy for me. yes  the top and bottoms fit overall  but it doesn't look as nice and form fitting like it does on the model. it is very sheer--which is the thing that discourages me the most. i love the concept of this piece but the execution could use some work  which i am willing to work on s,Intimates
0,As a petite  big busted woman  i found this dress wildly unflattering. the quality and pattern of the dress itself is beautiful  though it will require a slip as it is completely transparent. the design of the bust however  i found unflattering.,Intimates
1,This is different from any bra i've had before  in a good way. the lace over the front is really beautiful  and no annoying straps means it's comfortable! fit and support are both great. i didn't notice that it was silk when i ordered  so it was a nice surprise to open something so luxe and elegant. i wasn't expecting an underwire  either  based on the s-m-l sizing  but it has one.,Intimates
1,I have been having the worst trouble lately finding cute  comfortable cotton undies...until i found these. these fit like a charm  are incredibly soft  and don't ride up at all. (sizing in spot on.) plus they have the adorable lace trim that makes one feel nice and girly. last summer there was a nyt article saying that comforable underwear was coming back in style -- yay!!,Intimates
1,"I purchased this sweet little cami in all three colors (the black for some reason only available to order in store). the fabric is luxurious and smooth to the touch! i've purchased other silk shells by eloise and would say this one runs small. i'm 5'2"" 125lbs 34c and and typically wear an xs at retailer. this tank was too tight in the chest and i sized up to a small which fixed the problem. i can't wait to make my jeans and bomber jackets for fall just a little more special with these babies!",Intimates
1,It's beautiful  but more sheer on bottom than it appears in photo. size up.,Intimates
1,I knew when i bought this bralette that there was something special about it...the intricacy of the design is really pretty as is the style...but seriously - every single time i wear this bralette out (paired with a cute top or dress) i get tons of compliments from all of my friends. i never thought a bralette would spark so much conversation! aside from that it is super durable...i've had it for a year now  have washed it several times  and it is not stretched out at all or frayed aka it is gre,Intimates
1,"I purchased this in the black and received it today.  it is silky feeling and is a quality camisole.  the color is a muted black  not all shiny as some silks are (and they often look cheap) but this looks great and could be worn alone  under leather  or with a sweater/kimono.  i usually wear a medium in tops  and this fit true to size.  i am 5'2"" and it doesn't look too long  but i do wish it came in a petite.  still keeping it!",Intimates
1,"This is a great layering piece. got in orange color and it is really a beautiful shade. i am 5'3"" 36dd and went with a m. very flowy  nice length (more on the short side)  and not see through. i am able to wear without a bra  where the ruffles cover any possible chance of seeing anything ;). i have a black came from another brand and have literally worn it to pieces. goes well under a jacket for work  a kimono  wrap  denim jacket  just anything! i was a bit disappointed it is ""dry clean only""  h",Intimates
1,"This is beautiful and fits perfect. it's even prettier in person  and extremely comfortable and high quality. i'm 5'3"" and it hits right above the knee. the straps are adjustable and fits true to size. i bought an xs and it fits perfect. must buy for a sweet little night gown!",Intimates
1,Overall very pretty.,Intimates
-1,Love the jacket! so versatile! would probably order up a size if you like a loose fit.,Jackets
-1,This is a beautiful kimono but just isn't made well. the one i received already had a couple small holes and a pull in the thread that was very noticeable. after reading the additional reviewer who wore it an hour and it was already pilling  it is going back for good. such a shame!,Jackets
-1,A good part of my closet is filled with retailer clothes. i mix them with my basics  scarves and jewelry. so  i immediately thought of a dozen ways this kimono could jazz up anything from skinny jeans to slip dresses  even though i felt it was pretty pricey. when it arrived  i was more than disappointed in the cheapness of the fabric. it does nothing for any of my intended clothes  so it is going back asap.,Jackets
-1,Read the reviews and thought i would just remove the label asap to prevent snags since i loved the item!   however  the item came with unrepairable holes  not just snags and they are either on the neck or front sleeve which forces me to return the item asap. didn't even try it on. so sad  but i still love retailer!!!,Jackets
-1,This sweater/jacket looks just like the photo in real life  but the inside is so scratchy. i physically recoiled when trying it on as the interior of the sleeves feels like sandpaper. unlined and uncomfortable. no thank you!  should you choose to proceed  i found the fit tts. i'm 5'8  wear an 8/10 and the medium worked for me.,Jackets
-1,I was really excited for this jacket to arrive but it's going back. because the fabric is coated  it does not drape or hang nicely at all. i expected it to be boxy but it sticks out so oddly in every direction that it looks horrible. i'm usually an xs and ordered an xs and it looks ridiculous on me.,Jackets
-1,"I might be the only odd person out there who think this jacket is not perfect at all. a lot of other reviewers said that the jacket runs small. for me  it's not true at all  i had to go to xxp petite to find the fit acceptable  but it was simply too short (rather than 20"" as it states on the website  it's more like 18"")  which is a thing i almost never experienced because i am a petite person! i don't even want to go regular size because it would've been too big. i saw some photos that others po",Jackets
-1,This is the tiniest blazer i've ever purchased in a size 10. i usually wear an 8  but sized up based on other reviews and it was still too small. it's very attractive but please size true to size,Jackets
-1,After reading the previous reviews i thought sizing down would be a great idea. as soon as i pulled it out of the bag i knew that the xs/s was still wayyy too big. for reference i am 5'3 and a 34ddd and usually wear an 8 but this thing was enormous. it was shapeless and boxy but done so horribly it looked like i was pregnant. it has an adjustable draw string at the bottom which helps to make you look like a balloon. such a disappointment. the design was lovely and it looked very high quality and,Jackets
0,"The kimono is as pictured. the colors are true to what is shown on line  though the description indicates ""green multi""--it is not green. i returned the item  however. the quality is fine  but it seemed extremely over-priced to me. it seems to me that half the price would be fair for the quality.",Jackets
0,The color and design/style are cute but i found this to be too oversized. if you want to layer it  then it might be for you  but i was hoping for more of a tailored look.,Jackets
0,Delaine blazer so many little details with a slight bit of ruggedness. loved the unmatched buttons  checkered back and fraying that gave this piece personality making it appear less stuffy. easyily dress it up or down  that being said it seems to run true to size except the arms and shoulders were very tight. i would consider going up a size if more of an athletic build. ordered a 4 but i think a 6 would have been perfect!,Jackets
0,The fabric is beautiful  even the lining is lovely. i ordered the green color in a large  as i'm curvy and have long arms. but it just doesn't lay correctly at all - the collar has no structure  even though it's a lapel  and the side vents just pop out - the jacket added about 10lbs  and just looked frumpy. it looks much more tailored on the model. too bad  as i have been looking for a velvet blazer in the color for a long time.,Jackets
0,This jacket was too wide and the length in the arms too short. i wear a medium in almost any article of clothing and felt like i was swimming in a short little jacket. the ratio of how wide it is to the length is not for me but might work well with other body types. the arms were definitely too short.,Jackets
0,The jacket is cute  it runs small but looks good. i like it even though it feels tight on my arms.,Jackets
0,Beautiful sweater coat! love that is easy to pop on & head out. i did have to go to a seamstress and have the button moved as it was to large and boxy around my waist area.,Jackets
0,I live in ny and bought his coat for the winter  thinking since it was made out of wool it would be warm. this coat is extremely thing  more like a spring/fall coat and therefore i don't think the price justifies the quality. i am going to return and consider repurchasing if it goes on sale. i also wish it had a button or way of keeping it closed rather than just hang loosely.,Jackets
0,Slouchy relaxed fit. well sewn together and hangs well on the body. bottom hem hits upper thigh. good length and soft  easy fabric. light layering option as well. good spring jacket  can be kept on indoors without getting too hot.,Jackets
